trace,replacement,IPC,l2_miss_rate
641.leela_s-149B.champsimtrace.xz,pseudo_lru,0.9505,0.3006833270152315
644.nab_s-12459B.champsimtrace.xz,pseudo_lru,1.377,0.12472157678468905
648.exchange2_s-387B.champsimtrace.xz,pseudo_lru,1.259,0.05035439405139801
649.fotonik3d_s-1176B.champsimtrace.xz,pseudo_lru,0.3923,0.43779703662286834
654.roms_s-293B.champsimtrace.xz,pseudo_lru,1.145,0.5924575579747994
600.perlbench_s-1273B.champsimtrace.xz,lru,2.14,0.677002007584207
602.gcc_s-1850B.champsimtrace.xz,lru,0.2379,0.7389111189384023
605.mcf_s-1536B.champsimtrace.xz,lru,0.2401,0.5788064692093948
607.cactuBSSN_s-2421B.champsimtrace.xz,lru,1.47,0.0615347114829527
619.lbm_s-2676B.champsimtrace.xz,lru,0.4972,0.33767135811644405
620.omnetpp_s-141B.champsimtrace.xz,lru,0.2708,0.5630933270107169
621.wrf_s-575B.champsimtrace.xz,lru,1.173,0.5265760197775031
623.xalancbmk_s-165B.champsimtrace.xz,lru,0.5174,0.9993086100119154
625.x264_s-12B.champsimtrace.xz,lru,2.383,0.711029497493296
627.cam4_s-490B.champsimtrace.xz,lru,1.022,0.4667248948621954
628.pop2_s-17B.champsimtrace.xz,lru,1.226,0.3035146822607501
631.deepsjeng_s-928B.champsimtrace.xz,lru,1.079,0.2760154926840103
638.imagick_s-10316B.champsimtrace.xz,lru,3.332,0.012454769580032887
641.leela_s-149B.champsimtrace.xz,lru,0.95,0.30469929562405634
644.nab_s-12459B.champsimtrace.xz,lru,1.376,0.12774444497883802
648.exchange2_s-387B.champsimtrace.xz,lru,1.259,0.05035439405139801
649.fotonik3d_s-1176B.champsimtrace.xz,lru,0.3925,0.43821638244338834
654.roms_s-293B.champsimtrace.xz,lru,1.152,0.5928013427782993
